source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Ships,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,9,1,2026-09-15T04:05:32Z,Nilgiri-class,,Stealth guided missile frigate,7,India,"6,670 tonnes",6 Active 1 Launched,"Out of the 3 remaining ships, one is being constructed by Mazagon Dock and two by Garden Reach Shipbuilders & Engineers each."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,9,2,2026-09-15T04:05:32Z,Talwar-class,,Stealth guided missile frigate,2,India,"4,035 tonnes",8 Active 2 Launched,The two pending vessels are from the ship class's Batch 4 and are being constructed by Goa Shipyard.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,9,3,2026-09-15T04:05:32Z,Project 17B-class,,Stealth guided missile frigate,6,India,"8,000 tonnes",Planned,"The project cleared by the Ministry of Defence (MoD). Cost: ₹40,000 crore (US$4.2 billion). RFP timeline: 2027; Construction begin: 2031."
