source_key,source_url,source_table,source_row,retrieved_at,Deep-submergence rescue vehicle (2) | Class,Deep-submergence rescue vehicle (2) | Image,Deep-submergence rescue vehicle (2) | Boat,Deep-submergence rescue vehicle (2) | No.,Deep-submergence rescue vehicle (2) | Disp. (t),Deep-submergence rescue vehicle (2) | Comm.,Deep-submergence rescue vehicle (2) | Origin,Deep-submergence rescue vehicle (2) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,14,1,2026-09-15T03:49:19Z,DSAR,,DSAR-1,–,28,2018,United Kingdom,Used for submarine rescue; Paired with the Nistar-class diving support vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,14,2,2026-09-15T03:49:19Z,DSAR,,DSAR-2,—,28,2019,United Kingdom,Used for submarine rescue; Paired with the Nistar-class diving support vessels.
