source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Ships,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,8,1,2026-09-15T04:05:32Z,Project 15C class,,Stealth guided missile destroyer,4,India,,Planned,"A follow-on project after Visakhapatnam class. Cost: ₹50,000 crore (US$5.2 billion). RFP timeline: 2027; Construction begin: 2030."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,8,2,2026-09-15T04:05:32Z,Project 18 class,,Stealth guided missile destroyer,6,India,"14,000 to 15,000 tonnes",Planned,RFP timeline: 2029; Construction begin: 2034.
