source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Alitude,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,22,2026-09-15T04:05:32Z,9K38 Igla,Igla,Man-portable SAM,NPO Mashinostroyeniya,Infrared homing,5.2 km (3.2 mi),3.5 km (2.2 mi),Mach 1.7-1.8,High-explosive Pre-fragmented 1.17 kg,2003,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,23,2026-09-15T04:05:32Z,9K38 Igla,Igla-S,Man-portable SAM,NPO Mashinostroyeniya,Infrared homing,6 km (3.7 mi),3.5 km (2.2 mi),Mach 1.7-1.8,High-explosive Pre-fragmented 2.5 kg,2012,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,24,2026-09-15T04:05:32Z,9K34 Strela-3,9K34 Strela-3,Man-portable SAM,KBM,Infrared homing,4.5 km (2.8 mi),3 km (1.9 mi),Mach 1.5,High-explosive Pre-fragmented 1.15 kg,1985,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,25,2026-09-15T04:05:32Z,9K32 Strela-2,9K32 Strela-2,Man-portable SAM,KBM,Infrared homing,4.3 km (2.7 mi),2.3 km (1.4 mi),Mach 1.5,High-explosive Pre-fragmented 1.15 kg,1996,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,26,2026-09-15T04:05:32Z,FIM-92 Stinger,FIM-92 Stinger,Man-portable SAM,Raytheon,Infrared homing,8 km (5.0 mi),,Mach 2.2,High-explosive Pre-fragmented 3 kg,2020,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,27,2026-09-15T04:05:32Z,Kusha,MR-SAM,Medium range SAM,DRDO,,150 km (93 mi),,,High-explosive Pre-fragmented,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,28,2026-09-15T04:05:32Z,Kusha,ER-SAM,Long range SAM,DRDO,,250 km (160 mi),,,High-explosive Pre-fragmented,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,29,2026-09-15T04:05:32Z,Kusha,XR-SAM,Extended range SAM,DRDO,,350 km (220 mi),,,High-explosive Pre-fragmented,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,30,2026-09-15T04:05:32Z,VSHORAD,VSHORAD,Short range/ Man-portable SAM,DRDO,Infrared homing,6 km (3.7 mi),3.5 km (2.2 mi),Mach 1.5,High-explosive Pre-fragmented 2 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,5,31,2026-09-15T04:05:32Z,,,,,,,,,,,,,
