source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,1,2026-09-15T03:49:19Z,Prithvi,Prithvi-I,Surface-to-surface TBM,DRDO,Inertial navigation system,150 km (93 mi),,Conventional or Nuclear Fragmentation Thermobaric,1994,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,2,2026-09-15T03:49:19Z,Prithvi,Prithvi-II,Surface-to-surface SRBM,DRDO,Inertial navigation system,350 km (220 mi),,Conventional or Nuclear Fragmentation Thermobaric,2003,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,3,2026-09-15T03:49:19Z,Prithvi,Prithvi-III,Surface-to-surface SRBM,DRDO,Inertial navigation system,600 km (370 mi),,Conventional or Nuclear Fragmentation Thermobaric,2004,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,4,2026-09-15T03:49:19Z,Prithvi,Dhanush,Surface-to-surface ASBM,DRDO,Inertial navigation system,750 km (470 mi),,Conventional or Nuclear Fragmentation Thermobaric,2018,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,5,2026-09-15T03:49:19Z,Agni,Agni-I,Surface-to-surface MRBM,DRDO,Ring laser gyro INS infrared homing active radar homing,"1,200 km (750 mi)",Mach 24,Conventional or Nuclear High explosive Cluster munition Incendiary Thermobaric,2002,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,6,2026-09-15T03:49:19Z,Agni,Agni-P,Surface-to-surface MRBM,DRDO,Ring laser gyro INS infrared homing active radar homing,"2,000 km (1,200 mi)",Mach 24,Conventional or Nuclear High explosive Cluster munition Incendiary Thermobaric,2021,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,7,2026-09-15T03:49:19Z,Agni,Agni-II,Surface-to-surface MRBM,DRDO,Ring laser gyro INS infrared homing active radar homing,"3,500 km (2,200 mi)",Mach 24,Conventional or Nuclear High explosive Cluster munition Incendiary Thermobaric,2010,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,8,2026-09-15T03:49:19Z,Agni,Agni-III,Surface-to-surface IRBM,DRDO,Ring laser gyro INS infrared homing active radar homing,"5,000 km (3,100 mi)",Mach 24,Conventional or Nuclear High explosive Cluster munition Incendiary Thermobaric,2011,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,9,2026-09-15T03:49:19Z,Agni,Agni-IV,Surface-to-surface IRBM,DRDO,Ring laser gyro INS infrared homing active radar homing,"4,000 km (2,500 mi)",Mach 24,Conventional or Nuclear High explosive Cluster munition Incendiary Thermobaric,2014,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,10,2026-09-15T03:49:19Z,Agni,Agni-V,Surface-to-surface ICBM,DRDO,Ring laser gyro INS infrared homing active radar homing,"8,000 km (5,000 mi)",Mach 24,Conventional or Nuclear High explosive Cluster munition Incendiary Thermobaric,2018,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,6,11,2026-09-15T03:49:19Z,Agni,Agni-VI,Surface-to-surface ICBM,DRDO,Ring laser gyro INS infrared homing active radar homing,"16,000 km (9,900 mi)",Mach 24,Conventional or Nuclear High explosive Cluster munition Incendiary Thermobaric,TBD,In development,,
