source_key,source_url,source_table,source_row,retrieved_at,Dredger (4) | Class,Dredger (4) | Boat,Dredger (4) | Pennant No.,Dredger (4) | Disp. (t),Dredger (4) | Origin,Dredger (4) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,20,1,2026-09-15T04:05:32Z,Dredger-1,Dredger 1,—,—,India,First dedicated class of dredging vessels built in India.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,20,2,2026-09-15T04:05:32Z,Khadan class,INS Khadan,1055,—,India,Grab Dredger built by GSL
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,20,3,2026-09-15T04:05:32Z,Nikaraksha-class,INS Nikarakshat,—,—,India,"built by Mazagon Dock Limited, Mumbai"
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,20,4,2026-09-15T04:05:32Z,Nikaraksha-class,INS Kichodhara,—,—,India,"built by Mazagon Dock Limited, Mumbai"
