source_key,source_url,source_table,source_row,retrieved_at,Aircraft carrier (2) | Class,Aircraft carrier (2) | Image,Aircraft carrier (2) | Boat,Aircraft carrier (2) | No.,Aircraft carrier (2) | Disp. (t),Aircraft carrier (2) | Comm.,Aircraft carrier (2) | Origin,Aircraft carrier (2) | Homeport,Aircraft carrier (2) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,3,1,2026-09-15T03:49:19Z,Vikrant class,,INS Vikrant,R11,45000,2022,India,Karwar,First indigenously-built aircraft carrier.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,3,2,2026-09-15T03:49:19Z,Kiev class,,INS Vikramaditya,R33,45000,2013,Russia,Karwar,Ex-Soviet and Russian aircraft cruiser Gorshkov; refurbished and sold to India in 2004.
