source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,1,2026-09-15T04:05:32Z,9M113 Konkurs,9M113-M,Man-portable ATGM,Tula KBP,Wire-guided SACLOS,4 km (2.5 mi),208 m/s,Tandem HEAT 2.7 kg,1991,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,2,2026-09-15T04:05:32Z,9K114 Shturm,9K114 Shturm,Land-attack ATGM,KBM,Wire-guided SACLOS,5 km (3.1 mi),345 m/s,HEAT 5.3 kg,1999,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,3,2026-09-15T04:05:32Z,9K121 Vikhr,Vikhr-AT,Air-launched ATGM,KBP,Beam riding,12 km (7.5 mi),610 m/s,Tandem HEAT 12 kg,2004,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,4,2026-09-15T04:05:32Z,9M133 Kornet,9M133 Kornet,Land-attack ATGM,KBP,SACLOS beam riding,8 km (5.0 mi),350 m/s,Tandem HEAT 4.6 kg,2006,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,5,2026-09-15T04:05:32Z,AGM-114 Hellfire,Hellfire-2,Air-launched ATGM,Lockheed Martin,Laser guidance,1 km (0.62 mi),Mach 1.3,Tandem HEAT,2020,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,6,2026-09-15T04:05:32Z,Spike,Spike-MR,Man-portable ATGM,Rafael,Infrared homing,2.5 km (1.6 mi),,Tandem HEAT,2023,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,7,2026-09-15T04:05:32Z,Nag,Prospina,Land-attack ATGM,DRDO,Charge-coupled device Infrared homing,4 km (2.5 mi),230 m/s,Tandem HEAT 8 kg,2016,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,8,2026-09-15T04:05:32Z,Nag,HeliNa/Dhruvastra,Air-launched ATGM,DRDO,Charge-coupled device Infrared homing,10 km (6.2 mi),230 m/s,Tandem HEAT 8 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,9,2026-09-15T04:05:32Z,Nag,Stand off Anti-Tank missile,Standoff Air-launched ATGM,DRDO,Charge-coupled device Millimeter wave Active radar homing,20 km (12 mi),230 m/s,Tandem HEAT 8 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,10,2026-09-15T04:05:32Z,Nag,MPATGM,Man-portable ATGM,DRDO,,2.5 km (1.6 mi),,Tandem HEAT 8 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,11,2026-09-15T04:05:32Z,DRDO Anti Tank Missile,DRDO Anti Tank Missile,ATGM,DRDO,Wire guided,1.6 km (0.99 mi),0.91 m/s,HEAT,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,12,2026-09-15T04:05:32Z,Amogha missile,Amogha-1,ATGM,Bharat Dynamics,Semi-automatic command to line of sight,2.8 km (1.7 mi),,HEAT,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,13,2026-09-15T04:05:32Z,Amogha missile,Amogha-II,Air-launched ATGM,Bharat Dynamics,Semi-automatic command to line of sight,2.8 km (1.7 mi),,HEAT,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,14,2026-09-15T04:05:32Z,Amogha missile,Amogha-III,Man-portable ATGM,Bharat Dynamics,Imaging infrared Electro-optical,2.5 km (1.6 mi),,HEAT,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,15,2026-09-15T04:05:32Z,SAMHO,SAMHO,Cannon launched ATGM,DRDO,Semi-active laser homing,5 km (3.1 mi),,Tandem HEAT,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,1,16,2026-09-15T04:05:32Z,ATGM 5,ATGM 5,Man-portable ATGM,MBDA France,Infrared homing Television guidance,4 km (2.5 mi),,Tandem HEAT,TBD,In development,,
