source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,1,2026-09-15T04:05:32Z,Super 530,Super 530D,Beyond visual range AAM,Matra,Semi-active radar homing,40 km (25 mi),Mach 4.5,High-explosive Fragmented,1989,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,2,2026-09-15T04:05:32Z,R-27,R-27R1,Beyond visual range AAM,Vympel NPO,Semi-active radar homing,75 km (47 mi),Mach 2.5,Blast/fragmentation Continuous rod 39 kg,1995,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,3,2026-09-15T04:05:32Z,R-27,R-27T1,Beyond visual range AAM,Vympel NPO,Infrared homing,80 km (50 mi),Mach 2.5,Blast/fragmentation Continuous rod 39 kg,1995,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,4,2026-09-15T04:05:32Z,R-27,R-27ER1,Beyond visual range AAM,Vympel NPO,Semi-active radar homing,100 km (62 mi),Mach 2.5,Blast/fragmentation Continuous rod 39 kg,1999,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,5,2026-09-15T04:05:32Z,R-27,R-27ET1,Beyond visual range AAM,Vympel NPO,Infrared homing,80 km (50 mi),Mach 2.5,Blast/fragmentation Continuous rod 39 kg,1999,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,6,2026-09-15T04:05:32Z,R-77,R-77,Beyond visual range AAM,Vympel NPO,INS Active radar homing,110 km (68 mi),Mach 4,High-explosive Fragmented 22.5kg,2002,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,7,2026-09-15T04:05:32Z,KS-172,KS-172,Beyond visual range AAM,NPO Novator,INS Active radar homing,300 km (190 mi),Mach 3.3,High-explosive Fragmented,2007,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,8,2026-09-15T04:05:32Z,Astra,Astra Mk1,Beyond visual range AAM,DRDO,Fibre-optic gyro based INS Active radar homing,110 km (68 mi),Mach 4.5,High-explosive Pre-fragmented 15 kg,2018,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,9,2026-09-15T04:05:32Z,Astra,Astra Mk2,Beyond visual range AAM,DRDO,Fibre-optic gyro based INS Active radar homing,160 km (99 mi),Mach 4.5,High-explosive Pre-fragmented 15 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,10,2026-09-15T04:05:32Z,Astra,Astra Mk3,Beyond visual range AAM,DRDO,Fibre-optic gyro based INS Active radar homing,350 km (220 mi),Mach 4.5,High-explosive Pre-fragmented 15 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,11,2026-09-15T04:05:32Z,Python,Python-5,Beyond visual range AAM,Rafael,Infrared homing,20 km (12 mi),Mach 4,Proximity 11 kg,2018,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,12,2026-09-15T04:05:32Z,Python,Derby,Beyond visual range AAM,Rafael,Active radar homing,50 km (31 mi),Mach 4,Proximity 23 kg,2018,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,13,2026-09-15T04:05:32Z,MICA,MICA,Beyond visual range AAM,MBDA France,INS Active radar homing,60 km (37 mi),Mach 4,12 kg,2021,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,14,2026-09-15T04:05:32Z,Meteor,Meteor,Beyond visual range AAM,MBDA,INS Active radar homing,200 km (120 mi),Mach 4,High-explosive Fragmented,2022,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,15,2026-09-15T04:05:32Z,ASRAAM,ASRAAM,Beyond visual range AAM,MBDA UK,INS Infrared homing,25 km (16 mi),Mach 3+,High-explosive Fragmented 88 kg,2024,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,16,2026-09-15T04:05:32Z,Solid Fuel Ducted Ramjet,Solid Fuel Ducted Ramjet,Beyond visual range AAM,DRDO,,350 km (220 mi),Mach 4.5,,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,17,2026-09-15T04:05:32Z,R-73,R-73,Short range AAM,Vympel NPO,Infrared homing,30 km (19 mi),Mach 2.5,High-explosive Fragmented 7.4 kg,1989,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,18,2026-09-15T04:05:32Z,R-60,R-60,Short range AAM,Vympel NPO,Infrared homing,8 km (5.0 mi),Mach 2.5,High-explosive Fragmented 3 kg,1990,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,19,2026-09-15T04:05:32Z,R.550 Magic,R.550 Magic,Short range AAM,Matra,Infrared homing,20 km (12 mi),Mach 3,High-explosive Fragmented 12.7 kg,1994,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,3,20,2026-09-15T04:05:32Z,Python,Python-4,Short range AAM,Rafael,Infrared homing,15 km (9.3 mi),Mach 3.5,High-explosive Fragmented 11 kg,2007,In service,,
