source_key,source_url,source_table,source_row,retrieved_at,Name,Origin,Caliber (mm),Platforms,Notes
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,4,1,2026-09-15T03:49:19Z,RBU-6000,USSR,213,"All active destroyers; Talwar, Shivalik, Niligiri-class frigates; Kamorta-class corvette",DRDO developed Extended Range Anti-Submarine Rocket (ERASR) has an enhanced of 8900 m as compared to RGB-60 rocket (5500 m).
navy_weapon_systems,https://en.wikipedia.org/wiki/Weapon_systems_of_the_Indian_Navy,4,2,2026-09-15T03:49:19Z,RBU-1000,USSR,300,,[citation needed]
