source_key,source_url,source_table,source_row,retrieved_at,Name,Picture,No. of Ships,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,6,1,2026-09-15T04:05:32Z,Vikrant-class,,1,India,"45,000 tonnes",Planned,"Indian Navy had been pushing for a 65,000 tonne carrier, but the demand has been put on hold due to expenses and technologies needed on board. So now Navy is considering another 45,000-tonne class carrier, same as INS Vikrant, but with more indigenous systems and better propulsions.[citation needed]"
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,6,2,2026-09-15T04:05:32Z,INS Vishal,,1,India,"75,000 tonnes",Planned,"The ship will have a displacement of 75,000 tonnes and carry 54 fighters, 4 fixed-wing AEW&C aircraft, 8-10 helicopters & UAVs. It is also expected to be equipped with 2 electromagnetic catapult-based CATOBAR system. However, the propulsion system, whether nuclear-powered or powered by integrated electric propulsion system, is still being chalked out. Though, Navy confirmed its plans to operate a nuclear aircraft carrier in 2025."
