source_key,source_url,source_table,source_row,retrieved_at,Name | Man-portable air defence systems,Image | Man-portable air defence systems,Type | Man-portable air defence systems,Quantity | Man-portable air defence systems,Origin | Man-portable air defence systems,Notes | Man-portable air defence systems
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,5,1,2026-09-15T04:05:32Z,FIM-92 Stinger,,Man-portable air defense system,245,United States,Status: In service. 245 Stinger Air-to-Air Variant missiles for AH-64E helicopters inducted.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,5,2,2026-09-15T04:05:32Z,9K38 Igla9K338 Igla-S,,Man-portable air defense system,2500: 87 48 launchers 316 missiles,Russia,"Status: In service. Igla-S deployed along LAC. Additional 96 launchers, 300 missiles of Igla-S on order."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,5,3,2026-09-15T04:05:32Z,Starstreak,,Man-portable air defense system,,United Kingdom India,Status: On order. Starstreak is a Laser Beam-Riding MANPAD (LBRM) Very Short Range Air Defence (VSHORAD) Missile. To be delivered by Thales–Bharat Dynamics Limited (BDL) from 2025 onwards with up to 60% indigenous content.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,5,4,2026-09-15T04:05:32Z,Martlet,,"Laser-guided battlefield missile (ASM, AAM, SAM and SSM)",,United Kingdom India,Status: On order. $468 million deal signed on 9 October 2025. To be manufactured in Belfast. An Inter-Governmental Agreement (IGA) for domestic production to be signed soon as of August 2026.
