source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Ships,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,12,1,2026-09-15T03:49:19Z,Samarthak-class,,Multi Purpose Vessel (MPV),2,India,"3,750 tonnes",1 delivered 1 under sea trails,"On 25 March 2022, the Ministry of Defence signed a contract with Larsen & Toubro for acquisition of Two Multi-Purpose Vessels (MPVs) to be used for multi-role support functions such as maritime surveillance & patrol, launching/ recovery of torpedoes and operation of various types of aerial, surface and underwater targets for Gunnery/ ASW firing exercises at a cost of ₹887 crore (equivalent to ₹940 crore or US$98 million in 2023)."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,12,2,2026-09-15T03:49:19Z,Next Generation Multi-Purpose Vessels,,Multi Purpose Vessel (MPV),2,India,,2 Planned,Request for Proposal expected soon as of 8 July 2025.
