source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Boats,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,4,1,2026-09-15T04:05:32Z,Kalvari class,,Attack submarine,3,India France,"1,800 tonnes",Planned,"Contract for 3 more submarines of the Kalvari class submarines under consideration, however it is likely to be scrapped in favor of modified Type 214 submarines under P-75I."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,4,2,2026-09-15T04:05:32Z,Project 75I,,Attack submarine,6,India Germany,"3,000 – 4,000 tonnes",6 Approved,Cost negotiations underway; to be designed by MDL-TKMS based on enlarged Type 214.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,4,3,2026-09-15T04:05:32Z,Project 76,,Attack submarine,12,India,"3,000 tonnes",Planned,Project cleared by defence ministry in June 2024. Feasibility study conducted by DRDO. Approval from the Cabinet Committee on Security (CCS) due as of February 2025.
