source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Boats,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,3,1,2026-09-15T03:49:19Z,Chakra III (Akula-class),,Nuclear-powered attack submarine (SSN),1,Russia,"12,770–13,800 tons",Under construction,"On 7 March 2019, India and Russia signed a $3 billion deal for the lease of another Akula-class submarine for 10 years. The submarine, dubbed Chakra III, was expected to be delivered in 2025, but was later delayed to 2028."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,3,2,2026-09-15T03:49:19Z,Project 77,,Nuclear-powered attack submarine (SSN),6,India,"10,000 tonnes",2 Approved,The Government of India had approved the construction of six such submarines in February 2015.[citation needed] These submarines will be designed by the Indian Navy's Warship Design Bureau and indigenously built in the Shipbuilding Centre at Visakhapatnam. The Cabinet Committee on Security cleared the construction of two of these submarines in October 2024.
