source_key,source_url,source_table,source_row,retrieved_at,Ship,Pennant,Class,Commissioned,Decommissioned,Fate,Notes
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,1,1,2026-09-15T03:49:19Z,INS Vikrant,R11,Majestic-class,4 March 1961,31 January 1990,Converted to IMS-Indian Museum Ship briefly but subsequently scrapped in 2014.,Formerly HMS Hercules although never commissioned into the Royal Navy.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,1,2,2026-09-15T03:49:19Z,INS Viraat,R22,Centaur-class,12 May 1987,6 March 2017,Dismantled on 19 September 2020,Formerly HMS Hermes.
