source_key,source_url,source_table,source_row,retrieved_at,Name,Image,Type,Origin,Notes
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,2,1,2026-09-15T03:49:19Z,M9 bayonet,,Bayonet,United States,"Status: In Service, being phased out. Standard issue combat knife and bayonet of the Indian Army."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,2,2,2026-09-15T03:49:19Z,Glock knife,,Combat Knife,Austria,Status: In Service. Standard service issue knife of the special forces.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,2,3,2026-09-15T03:49:19Z,Naga Dao,,Utility knife,India,Status: In service. Used by the Naga Regiment for various purposes
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,2,4,2026-09-15T03:49:19Z,Khukri,,Utility knife,Gorkha Kingdom,Status: In Service. Standard issue Utility knife of the Gorkha regiments. Khukri traditionally associated with Gurkha.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,2,5,2026-09-15T03:49:19Z,Kirpan,,Dagger,India,Status: In Service. Carried by the Sikh Regiment and Sikh Light Infantry as per the Sikh religious commandments.
