source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Boats,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,5,1,2026-09-15T03:49:19Z,Swimmer Delivery Vehicle,,Midget submarine,10,India,150 tonnes,Planned,"Indian Navy will acquire at least 10 midget submarines for use as Swimmer Delivery Vehicles. These submarines will be used for conducting underwater special operations by MARCOS. The project is worth ₹2,000 crore (equivalent to ₹32 billion or US$330 million in 2023)."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,5,2,2026-09-15T03:49:19Z,Extra Large Unmanned Underwater Vessel,,Unmanned underwater vehicle,12,India,>100 tonnes,Under construction,"Ministry of Defence cleared ₹2,500 crore (US$260 million) project for development and procurement of XLUUVs under Make-1 category in September 2024. Shall be capable of ISR, anti-submarine warfare, anti-surface warfare and mine warfare (mine laying and mine clearing). Construction of Jalkapi XLUUV by Krishna Defence and Allied Industries Ltd (KDAIL) in Halol, Gujarat began with the plate-cutting ceremony on 10 June 2025."
