source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Altitude,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,10,1,2026-09-15T03:49:19Z,Pinaka,Pinaka Mk I,Multiple rocket launcher,DRDO,Ring laser gyro based INS with GPS/NavIC,37.5 km (23.3 mi),40 km (25 mi),Mach 4,"High explosive, pre-fragmentated, cluster, anti-tank 250 kg",1998,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,10,2,2026-09-15T03:49:19Z,Pinaka,Pinaka Mk IE,Multiple rocket launcher,DRDO,Ring laser gyro based INS with GPS/NavIC,45 km (28 mi),40 km (25 mi),Mach 4,"High explosive, pre-fragmentated, cluster, anti-tank 250 kg",,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,10,3,2026-09-15T03:49:19Z,Pinaka,Pinaka Mk II,Multiple rocket launcher,DRDO,Ring laser gyro based INS with GPS/NavIC,60 km (37 mi),40 km (25 mi),Mach 4,"High explosive, pre-fragmentated, cluster, anti-tank 250 kg",TBD,In trials,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,10,4,2026-09-15T03:49:19Z,Pinaka,Guided Pinaka,Multiple rocket launcher,DRDO,Ring laser gyro based INS with GPS/NavIC,75 km (47 mi),40 km (25 mi),Mach 4,"High explosive, pre-fragmentated, cluster, anti-tank 250 kg",TBD,In trials,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,10,5,2026-09-15T03:49:19Z,Pinaka,Pinaka ERR 122,Multiple rocket launcher,DRDO,Ring laser gyro based INS with GPS/NavIC,60 km (37 mi),40 km (25 mi),Mach 4,"High explosive, pre-fragmentated, cluster, anti-tank 250 kg",TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,10,6,2026-09-15T03:49:19Z,Pinaka,Pinaka Mk II ER,Multiple rocket launcher,DRDO,Ring laser gyro based INS with GPS/NavIC,90 km (56 mi),40 km (25 mi),Mach 4,"High explosive, pre-fragmentated, cluster, anti-tank 250 kg",TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,10,7,2026-09-15T03:49:19Z,Pinaka,Pinaka Mk III,Multiple rocket launcher,DRDO,Ring laser gyro based INS with GPS/NavIC,120 km (75 mi),40 km (25 mi),Mach 4,"High explosive, pre-fragmentated, cluster, anti-tank 250 kg",TBD,In development,,
