source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Boats,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,2,1,2026-09-15T03:49:19Z,Arihant class,,Ballistic missile submarine (SSBN),4,India,"Planned displacement of 7,000 tonnes for S4 & S4* vessels",3 Active 1 Sea trials underway,"Second flight of 2 submarines with eight VLS of SLBMs as against four VLS on the first two submarines. Due to development delays of S5-class, another submarine is planned under this class."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,2,2,2026-09-15T03:49:19Z,S5 class,,Ballistic missile submarine (SSBN),4-6,India,"13,500 tonnes",Under construction,"In December 2025, it was reported that construction of the first two S5 SSBNs had commmenced with four of the submarines expected to be commissioned by late 2030s."
