source_key,source_url,source_table,source_row,retrieved_at,Replenishment Oiler (4) | Class,Replenishment Oiler (4) | Image,Replenishment Oiler (4) | Ship,Replenishment Oiler (4) | No.,Replenishment Oiler (4) | Disp. (t),Replenishment Oiler (4) | Comm.,Replenishment Oiler (4) | Origin,Replenishment Oiler (4) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,9,1,2026-09-15T04:05:32Z,Deepak class,,INS Deepak,A50,27500,2011,Italy,Serves dual roles of fleet support and HADR
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,9,2,2026-09-15T04:05:32Z,Deepak class,,INS Shakti,A57,27500,2011,Italy,Serves dual roles of fleet support and HADR
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,9,3,2026-09-15T04:05:32Z,Jyoti class,,INS Jyoti,A58,35900,1996,Russia,Indian variant of the Komandarm Fedko-class oilers.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,9,4,2026-09-15T04:05:32Z,Aditya class,,INS Aditya,A59,24612,2000,India,Modified version of the Deepak-class oilers.
