source_key,source_url,source_table,source_row,retrieved_at,Photo,Aircraft,Origin,Type,Versions,Quantity,Notes
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,11,1,2026-09-15T04:05:32Z,File:HAL Rudra at Aero India 2013.JPG,HAL Rudra,India,Attack Helicopter,ALH-WSI,20,"Total of 60 on order, first 20 to be delivered by 2013."
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,11,2,2026-09-15T04:05:32Z,File:LCH (HEMANT RAWAT ) (2).JPG,HAL Light Combat Helicopter,India,Attack helicopter,LCH,2,114 on order.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,11,3,2026-09-15T04:05:32Z,File:Indian Army Dhruv Helicopter at Aero India 2013.JPG,HAL Dhruv,India,Utility helicopter,,65,160 on order.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,11,4,2026-09-15T04:05:32Z,File:Aerospatiale SA 315B Lama Helicopter 20080814.jpg,HAL Lancer,France India,Light Attack helicopter,,12,Developed from HAL Cheetah.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,11,5,2026-09-15T04:05:32Z,File:ÖBH AlouetteIII Landeck Abflug2.jpg,HAL Chetak,France India,Utility helicopter,SA 316B Chetak,60,To be replaced.
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,11,6,2026-09-15T04:05:32Z,File:Cheetah produced by HAL.jpg,HAL Cheetah,France India,Utility helicopter,SA 315B CheetahHAL Cheetal,48,To be replaced. 22 HAL Cheetal on order
army_legacy_equipment,https://military-history.fandom.com/api.php?action=parse&page=Equipment_of_the_Indian_Army&prop=text&format=json,11,7,2026-09-15T04:05:32Z,File:Afghan MI-17 helicopters.jpg,Mi-17V Hip,,Transport Helicopter,,6,
