source_key,source_url,source_table,source_row,retrieved_at,Name,Picture,Role,Warhead,Origin,Status,Ref
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,18,1,2026-09-15T04:05:32Z,Supersonic Missile Assisted Release of Torpedo (SMART),,Long-range ASM,Conventional Torpedo,India,Under trials,
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,18,2,2026-09-15T04:05:32Z,Long Range – Anti Ship Missile (LRAShM),,Long range AsuW,Hypersonic Glide Vehicle,India,Under trials,
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,18,3,2026-09-15T04:05:32Z,NASM-SR,,"Air-launched, anti-ship missile",,India,Under trials,
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,18,4,2026-09-15T04:05:32Z,NASM-MR,,"Air-launched, anti-ship missile",,India,Under trials,
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,18,5,2026-09-15T04:05:32Z,Land Attack Cruise Missile,,Submarine-launched cruise missile,,,RFI issued in February 2026 to equip the conventional submarine fleet.,
