source_key,source_url,source_table,source_row,retrieved_at,Name | Man-portable anti-tank systems,Image | Man-portable anti-tank systems,Type | Man-portable anti-tank systems,Quantity | Man-portable anti-tank systems,Origin | Man-portable anti-tank systems,Notes | Man-portable anti-tank systems
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,6,1,2026-09-15T03:49:19Z,9M113 Konkurs-M,,Vehicle-mounted and man-portable anti-tank guided missile,"25,000+",India Russia,"Status: In service. For BMP-2 (IFV), manufactured locally in India by Bharat Dynamics Limited. The systems were upgraded with Tonbo Imaging's cooled, longwave Infrared (LWIR) thermal imagers known as Sarisa."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,6,2,2026-09-15T03:49:19Z,MPATGM,,Man-portable Anti-tank guided missile,,India,"Status: Final trial completed and ready for induction. Will replace MILAN-2T and Konkurs with the infantry, parachute, and special forces units."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,6,3,2026-09-15T03:49:19Z,MILAN-2T,,Man-portable Anti-tank guided missile,34000,India France West Germany,Status: In service. Purchased from MBDA and domestically license produced by India's Bharat Dynamics Limited.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,6,4,2026-09-15T03:49:19Z,9M133 Kornet,,Man-portable Anti-tank guided missile,3000,India Russia,Status: In service. Man portable and purchased with 250 launchers.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,6,5,2026-09-15T03:49:19Z,SpikeSpike LR-II,,Man-portable Anti-tank guided missile,400+,Israel,Status: In service. Army operates more than 400 Spike MR and Spike LR-II missiles while Indian Air Force procured Spike-NLOS for Mi-17 helicopters.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,6,6,2026-09-15T03:49:19Z,Possible future procurements or currently under trials,Possible future procurements or currently under trials,Possible future procurements or currently under trials,Possible future procurements or currently under trials,Possible future procurements or currently under trials,Possible future procurements or currently under trials
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,6,7,2026-09-15T03:49:19Z,Amogha missile,,Anti-tank guided missile,—,India,"The Amogha will be configured to be used on HAL Rudra and HAL Prachand. Variants will include a land version, an air-launched version and a man-portable version."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,6,8,2026-09-15T03:49:19Z,FGM-148 Javelin,,Anti-tank guided missile,25 launchers & 100 missiles,United States,Possible procurement through fast track route. Contract approved by US DSCA.
