source_key,source_url,source_table,source_row,retrieved_at,Name | Multiple rocket launchers,Image | Multiple rocket launchers,Calibre | Multiple rocket launchers,Quantity | Multiple rocket launchers,Origin | Multiple rocket launchers,Notes | Multiple rocket launchers
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,7,1,2026-09-15T03:49:19Z,Agnibaan,,122 mm,150 launchers,Soviet Union India,Status: In service. Indian upgraded version of the Soviet BM-21 Grad. Upgraded locally and firing range extended up to 40 km by DRDO. 5 regiments active as of 2024.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,7,2,2026-09-15T03:49:19Z,Pinaka MBRL,,214 mm300 mm,126+ launchers(as of 2026),India,"Status: In service. Mark 1: 37–45 km range; Guided: 75–80 km range. As of 2014, about 5,000 missiles are being produced every year. 7 regiments active as of March 2026. 3 more Pinaka regiments on order to be produced by L&T and TASL. Army had a plan for 22 regiments by 2028."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,7,3,2026-09-15T03:49:19Z,Smerch 9K58 MBRL,,300 mm,42 launchers,India Russia,Status: In service. Maximum range: 90 km. 3 regiments active as of 2024 (14 launchers each). A regiment has 3 batteries (4 launchers) and 2 reserved launchers.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,7,4,2026-09-15T03:49:19Z,Suryastra,,306 mm370 mm,,India Israel,Status: On order; Live fire trials. Maximum range: 150 km and 300 km. Order for two systems placed in Jan 2025. Deliveries within 12 months.
