source_key,source_url,source_table,source_row,retrieved_at,Instrumentation Ship (2) | Class,Instrumentation Ship (2) | Image,Instrumentation Ship (2) | Ship,Instrumentation Ship (2) | No.,Instrumentation Ship (2) | Disp. (t),Instrumentation Ship (2) | Comm.,Instrumentation Ship (2) | Origin,Instrumentation Ship (2) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,10,1,2026-09-15T03:49:19Z,Anvesh class,,INS Anvesh,A41,11300,2022,India,Used to test components of India's BMD programme.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,10,2,2026-09-15T03:49:19Z,Dhruv class,,INS Dhruv,A40,15000,2021,India,"Used for SIGINT. Jointly operated by NTRO, DRDO, and the Indian Navy."
