source_key,source_url,source_table,source_row,retrieved_at,Name,Image,Origin,Type,Quantity,Notes
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,17,1,2026-09-15T03:49:19Z,Aquarius Flat Bottomed Boat,,India,Landing Craft Assault,17,"Status: In service mostly in the Pangong Tso. Flat-bottomed boat made of fiberglass with a length of 35 ft (11 m). Capable of carrying 20–22 troops, and reaching a speed of 20 knots (37 km/h). Made by Aquarius Shipyard Pvt Ltd."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,17,2,2026-09-15T03:49:19Z,GSL Fast Patrol Boat,,India,Patrol Boat,12,"Status: In service. Made by Goa Shipyard. Used for patrolling in Pangong Tso lake. The boats are specially equipped with anti-ramming features, optical sensors, weapon systems and other specialized surveillance gears."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,17,3,2026-09-15T03:49:19Z,Tempest 35 Swat Patrol Craft,,United States,Patrol Boat,17,"Status: In service. Used for patrolling in Pangong Tso lake. These high-speed interceptor boats are equipped with GPS, sonar, echo-sounder and infrared night-vision cameras. It can reach speeds up to 40 knots and carry 10 fully armed soldiers."
