source_key,source_url,source_table,source_row,retrieved_at,Ship | Destroyers,Pennant | Destroyers,Class | Destroyers,Commissioned | Destroyers,Decommissioned | Destroyers,Fate | Destroyers,Notes | Destroyers
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,4,1,2026-09-15T04:05:32Z,INS Rajput (ex-Nadezhny),D51,Rajput-class destroyer,4 May 1980,21 May 2021,,"Built in the Soviet Union as Nadezhny, but never commissioned into the Soviet Navy."
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,4,2,2026-09-15T04:05:32Z,INS Ranjit (ex-Lovkiyy),D53,Rajput-class destroyer,24 November 1983,6 May 2019,Sunk during TROPEX-21 as a live target.,"Built in the Soviet Union as Lovkiyy, but never commissioned into the Soviet Navy."
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,4,3,2026-09-15T04:05:32Z,INS Rajput,D141,R class,28 July 1949,30 June 1973,scrapped 1979,Served as HMS Rotherham in the Royal Navy before being transferred to India.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,4,4,2026-09-15T04:05:32Z,INS Ranjit,D209,R class,4 July 1949,30 September 1975,scrapped 1979,Served as HMS Redoubt in the Royal Navy before being transferred to India.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,4,5,2026-09-15T04:05:32Z,INS Rana,D115,R class,9 September 1949,30 September 1971,scrapped 1979,Served as HMS Raider in the Royal Navy before being transferred to India.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,4,6,2026-09-15T04:05:32Z,INS Godavari,D92,Hunt class,27 April 1953,31 Aug 1976,scrapped 1979,leased and then purchased from the Royal Navy. Formerly HMS Bedale. Was operated by Polish Navy during World War II as ORP Ślązak.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,4,7,2026-09-15T04:05:32Z,INS Gomati,D93,Hunt class,24 April 1953,31 May 1972,scrapped 1975,leased and then purchased from the Royal Navy. Formerly HMS Lamerton.
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,4,8,2026-09-15T04:05:32Z,INS Ganga,D94,Hunt class,18 June 1953,31 July 1972,scrapped 1975,leased and then purchased from the Royal Navy. Formerly HMS Chiddingfold.
