source_key,source_url,source_table,source_row,retrieved_at,Timeline,Warship fleet,Aircraft fleet,Under construction,On order,Acceptance of Necessity[a],Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,1,1,2026-09-15T04:05:32Z,December 2024,>130,251,64,24,"31 (7 frigates, 8 corvettes and 6 submarines)",
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,1,2,2026-09-15T04:05:32Z,September 2025,140,—N/a,"54 (in 6 shipyards), worth ₹99,500 crore (US$10 billion)",—N/a,"74 (65 surface ships and 9 submarines), worth ₹2.35 lakh crore (US$24 billion)","10 to be commissioned in 2025, 19 in 2026 and 13 in 2027. All by 2030."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,1,3,2026-09-15T04:05:32Z,May 2026,>140,—N/a,45,—N/a,"75 (69 surface ships, 6 submarines excluding 120 fast interceptor crafts)",
