source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,1,2026-09-15T04:05:32Z,Sea Eagle,Sea Eagle,Short range AShM,BAe Dynamics,INS Active radar homing,110 km (68 mi),Mach 1,Conventional 230 kg,1988,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,2,2026-09-15T04:05:32Z,P-15 Termit,P-15M,Short range AShM,MKB Raduga,INS Active radar homing,80 km (50 mi),Mach 0.95,Hollow charge 454 kg,1989,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,3,2026-09-15T04:05:32Z,APR-2,APR-2,ASW torpedo,TMC,Acoustic homing,3 km (1.9 mi),56 kn,High explosive 74 kg,1990,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,4,2026-09-15T04:05:32Z,53-65,53-65,ASW torpedo,Ostekhbureau,Acoustic homing,18 km (11 mi),45 kn,High explosive 307.6 kg,1990,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,5,2026-09-15T04:05:32Z,SET-65,SET-65,ASW torpedo,SI-400,Acoustic homing,100 km (62 mi),50 kn,High explosive 557 kg,1991,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,6,2026-09-15T04:05:32Z,SUT,SUT,ASW torpedo,Atlas Elektronik,Acoustic homing,30 km (19 mi),35 kn,High explosive 250 kg,1994,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,7,2026-09-15T04:05:32Z,Kh-31,Kh-31A1,Short range AShM,TMC,INS Active radar homing,70 km (43 mi),Mach 3.5,Armor piercing,2007,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,8,2026-09-15T04:05:32Z,A244,A244,ASW torpedo,Leonardo,Acoustic homing,13.5 km (8.4 mi),39 kn,High explosive 45.4 kg,2007,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,9,2026-09-15T04:05:32Z,Kalibr,3M-54E,Cruise AShM,NPO Novator,INS Active radar homing,300 km (190 mi),Mach 3,Conventional or Nuclear 500 kg,2008,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,10,2026-09-15T04:05:32Z,Kh-35,Kh-35,Cruise AShM,TMC,INS Active radar homing,300 km (190 mi),Mach 0.85,High explosive Fragmented,2009,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,11,2026-09-15T04:05:32Z,Harpoon,Block-2,Short range AShM,Boeing,INS Active radar homing,124 km (77 mi),Mach 0.71,Conventional 221 kg,2013,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,12,2026-09-15T04:05:32Z,Mk-54,Mk-54 LWT,ASW torpedo,Raytheon,Acoustic homing,0.45 km (0.28 mi),40 kn,High explosive 43.9 kg,2016,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,13,2026-09-15T04:05:32Z,Exocet,SM-39,Short range AShM,MBDA France,INS Active radar homing,50 km (31 mi),Mach 0.93,Conventional 165 kg,2024,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,14,2026-09-15T04:05:32Z,Naval Anti-ship Missile,NASM-SR,Short range AShM,DRDO,INS with satellite guidance Imaging infrared,55 km (34 mi),Mach 0.8,Conventional 100 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,15,2026-09-15T04:05:32Z,Naval Anti-ship Missile,NASM-MR,Medium range AShM,DRDO,INS with satellite guidance Imaging infrared,250 km (160 mi),Mach 0.7,Conventional 150 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,16,2026-09-15T04:05:32Z,Supersonic Missile Assisted Release of Torpedo (SMART),Supersonic Missile Assisted Release of Torpedo (SMART),Long-range ASM,DRDO,Inertial navigation system Acoustic homing,643 km (400 mi),,Conventional 50 kg,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,2,17,2026-09-15T04:05:32Z,Long Range – Anti Ship Missile,Long Range – Anti Ship Missile,Long-range AShM,DRDO,,"1,500 km (930 mi)",Mach 8-10,Hypersonic glide vehicle,TBD,In development,,
