source_key,source_url,source_table,source_row,retrieved_at,"Name | Intermediate-range missiles (maximum range of 5,500 km)","Image | Intermediate-range missiles (maximum range of 5,500 km)","Type | Intermediate-range missiles (maximum range of 5,500 km)","Quantity | Intermediate-range missiles (maximum range of 5,500 km)","Origin | Intermediate-range missiles (maximum range of 5,500 km)","Notes | Intermediate-range missiles (maximum range of 5,500 km)"
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,16,1,2026-09-15T03:49:19Z,Agni-III,,Intermediate-range ballistic missile,,India,"Status: In service. 3,500 km range."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,16,2,2026-09-15T03:49:19Z,Agni-IV,,Intermediate-range ballistic missile,,India,"Status: In service. 4,000 km range."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,16,3,2026-09-15T03:49:19Z,"Intercontinental missiles (range greater than 5,500 km)","Intercontinental missiles (range greater than 5,500 km)","Intercontinental missiles (range greater than 5,500 km)","Intercontinental missiles (range greater than 5,500 km)","Intercontinental missiles (range greater than 5,500 km)","Intercontinental missiles (range greater than 5,500 km)"
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,16,4,2026-09-15T03:49:19Z,Agni-V,,Intercontinental ballistic missile,,India,"Status: In service. 5,500–7,500 km range"
