source_key,source_url,source_table,source_row,retrieved_at,Name | Gun-launched missiles,Image | Gun-launched missiles,Type | Gun-launched missiles,Quantity | Gun-launched missiles,Origin | Gun-launched missiles,Notes | Gun-launched missiles
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,13,1,2026-09-15T04:05:32Z,9M119 Svir (AT-11 Sniper),,Anti-tank guided missile,25000,India Russia,"Status: In service. Gun-launched ATGM used on the Indian Army's T-90S and T-72 tanks.Bharat Dynamics Limited signed a contract with MOD for Invar anti-tank guided missiles on 19-Aug-2013. It is reported that 10,000 will be procured from Russia while BDL will manufacture 15,000. Further Orders are also planned tto upgrade T-90 tanks."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,13,2,2026-09-15T04:05:32Z,SAMHO,,Anti-tank guided missile,,India,Status: Under development
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,13,3,2026-09-15T04:05:32Z,Multirole missiles,Multirole missiles,Multirole missiles,Multirole missiles,Multirole missiles,Multirole missiles
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,13,4,2026-09-15T04:05:32Z,Lightweight Multirole Missile (LMM),,"Laser-guided battlefield missile (ASM, AAM, SAM and SSM)",,United Kingdom,Status: On order. $468 million deal signed on 9 October 2025. To be manufactured in Belfast.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,13,5,2026-09-15T04:05:32Z,Vehicle-launched missiles,Vehicle-launched missiles,Vehicle-launched missiles,Vehicle-launched missiles,Vehicle-launched missiles,Vehicle-launched missiles
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,13,6,2026-09-15T04:05:32Z,9M113 Konkurs-M,,Vehicle-mounted and man-portable anti-tank guided missile,"25,000+",India Russia,"Status: In service. For BMP-2, manufactured locally in India by Bharat Dynamics Limited. The systems were upgraded with Tonbo Imaging's cooled, longwave Infrared (LWIR) thermal imagers known as Sarisa."
