source_key,source_url,source_table,source_row,retrieved_at,Diving support vessel (3) | Class,Diving support vessel (3) | Image,Diving support vessel (3) | Ship,Diving support vessel (3) | No.,Diving support vessel (3) | Disp. (t),Diving support vessel (3) | Comm.,Diving support vessel (3) | Homeport,Diving support vessel (3) | Origin,Diving support vessel (3) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,13,1,2026-09-15T04:05:32Z,Nistar class,,INS Nistar,A16,9350,2025,Visakapatnam,India,First indigenously designed class of diving support vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,13,2,2026-09-15T04:05:32Z,Nistar class,,INS Nipun,A17,9350,2026,Mumbai,India,First indigenously designed class of diving support vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,13,3,2026-09-15T04:05:32Z,Diving Support Craft,,INS A20,A20,390,2025,Kochi,India,Small DSC built by Titagarh Rail Systems Limited. 4 more under construction.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,13,4,2026-09-15T04:05:32Z,Nireekshak class,,INS Nireekshak,A15,2160,1989,Visakapatnam,India,Will be replaced by the Nistar-class support vessels.
