source_key,source_url,source_table,source_row,retrieved_at,Family,Name,Type,Designer,Guidance,Range,Altitude,Speed,Warhead,Intr.,Status,Image,Ref.
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,9,1,2026-09-15T04:05:32Z,Indian Ballistic Missile Defence Programme Phase I,Pradyumna,Exoatmospheric ABM,DRDO,Inertial navigation system Active radar homing,"2,000 km (1,200 mi)",80 km (50 mi),Mach 5+,Pre-fragmented Kinetic kill vehicle 40 kg,2006,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,9,2,2026-09-15T04:05:32Z,Indian Ballistic Missile Defence Programme Phase I,Advanced Air Defence,Endoatmospheric ABM,DRDO,Inertial navigation system Active radar homing,150 km (93 mi),40 km (25 mi),Mach 4.5,Pre-fragmented Kinetic kill vehicle 40 kg,2007,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,9,3,2026-09-15T04:05:32Z,Indian Ballistic Missile Defence Programme Phase I,Prithvi Defence Vehicle,Exoatmospheric ABM,DRDO,Ring laser gyro based INS Infrared homing,"5,000 km (3,100 mi)",180 km (110 mi),,Pre-fragmented Kinetic kill vehicle,2019,In service,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,9,4,2026-09-15T04:05:32Z,Indian Ballistic Missile Defence Programme Phase II,Prithvi Defence Vehicle Mark-II,Exoatmospheric ABM,DRDO,Ring laser gyro based INS Infrared homing,"5,000 km (3,100 mi)","1,200 km (750 mi)",Mach 5+,Pre-fragmented Kinetic kill vehicle,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,9,5,2026-09-15T04:05:32Z,Indian Ballistic Missile Defence Programme Phase II,AD-1,Endoatmospheric ABM,DRDO,Ring laser gyro based INS Infrared homing,"5,000 km (3,100 mi)",TBA,Mach 5+,Pre-fragmented Kinetic kill vehicle,TBD,In development,,
indian_military_missiles,https://en.wikipedia.org/wiki/List_of_Indian_military_missiles,9,6,2026-09-15T04:05:32Z,Indian Ballistic Missile Defence Programme Phase II,AD-2,Exoatmospheric ABM,DRDO,Ring laser gyro based INS Infrared homing,"5,000 km (3,100 mi)",TBA,Mach 5+,Pre-fragmented Kinetic kill vehicle,TBD,In development,,
