source_key,source_url,source_table,source_row,retrieved_at,Name | Introduced into service before 1947,Origin | Introduced into service before 1947,Primary role(s) | Introduced into service before 1947,Introduced | Introduced into service before 1947,Retired | Introduced into service before 1947,Count | Introduced into service before 1947,Notes | Introduced into service before 1947
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,29,2026-09-15T03:49:19Z,Auster AOP.9,United Kingdom,Liaison,1955,1981,35,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,30,2026-09-15T03:49:19Z,Bell 47G-2,United States,Helicopter,1957,1979,15,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,31,2026-09-15T03:49:19Z,Consolidated B-24J Liberator,United States,Bomber,1948,1967,45,[a]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,32,2026-09-15T03:49:19Z,Dassault MD. 450B Ouragan,France,Fighter-bomber,1953,1967,104,[b]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,33,2026-09-15T03:49:19Z,Dassault Mystère MD.454 IVA,France,Fighter-bomber,1957,1973,104,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,34,2026-09-15T03:49:19Z,de Havilland Canada DHC-3 Otter,Canada,Transport,1956,1998,36,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,35,2026-09-15T03:49:19Z,de Havilland Canada DHC-4 Caribou,Canada,Transport,1963,1991,26,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,36,2026-09-15T03:49:19Z,de Havilland Devon,United Kingdom,Transport,1947,1991,22,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,37,2026-09-15T03:49:19Z,de Havilland Vampire F.3,United Kingdom,Fighter,1948,1955,3,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,38,2026-09-15T03:49:19Z,de Havilland Vampire FB.52,United Kingdom,Fighter-bomber,1950,1974,286,[c]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,39,2026-09-15T03:49:19Z,de Havilland Vampire NF.10,United Kingdom,Fighter,1953,1955,30,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,40,2026-09-15T03:49:19Z,de Havilland Vampire NF.54,United Kingdom,Fighter,1953,1966,30,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,41,2026-09-15T03:49:19Z,de Havilland Vampire PR.55,United Kingdom,Reconnaissance,1954,1965,5,[d]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,42,2026-09-15T03:49:19Z,de Havilland Vampire T.11,United Kingdom,Basic trainer,1963,?,7,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,43,2026-09-15T03:49:19Z,de Havilland Vampire T.55,United Kingdom,Basic trainer,1953,1982,124,[e]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,44,2026-09-15T03:49:19Z,English Electric Canberra B(I).58/B(I).66,United Kingdom,Bomber/Reconnaissance,1957,2007,150,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,45,2026-09-15T03:49:19Z,Fairchild C-119G Flying Boxcar,United States,Transport,1953,1984,89,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,46,2026-09-15T03:49:19Z,Folland Fo.141 Gnat F.1,United Kingdom,Fighter,1958,1978,?,[f]
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,47,2026-09-15T03:49:19Z,HAL HF-24 Marut Mk.1,India,Fighter-bomber,1961,1985,147,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,48,2026-09-15T03:49:19Z,HAL HT-2,India,Basic trainer,1953,1998,169,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,49,2026-09-15T03:49:19Z,Hawker Hunter FGA.56A,United Kingdom,Fighter-bomber,1957,1996,167,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,50,2026-09-15T03:49:19Z,Hawker Hunter T.66,United Kingdom,Basic trainer,1959,1992,40,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,51,2026-09-15T03:49:19Z,Ilyushin Il-14,Soviet Union,Transport,1955,1981,29,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,52,2026-09-15T03:49:19Z,Lockheed Super Constellation,United States,Transport,1961,1981,9,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,53,2026-09-15T03:49:19Z,Mikoyan-Gurevich MiG-21F-13/FL/PFM/M/bis/Bison,Soviet Union,Fighter,1964,2025,872,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,54,2026-09-15T03:49:19Z,Mil Mi-4,Soviet Union,Helicopter,1960,1988,121,
iaf_historical_aircraft,https://en.wikipedia.org/wiki/List_of_historical_aircraft_of_the_Indian_Air_Force,1,55,2026-09-15T03:49:19Z,North American T-6G Texan,United States,Basic trainer,1973,?,,
