source_key,source_url,source_table,source_row,retrieved_at,Post,Current Holder
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,1,2026-09-15T04:05:32Z,Chief of the Air Staff,"Air Chief Marshal Amar Preet Singh, PVSM, AVSM"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,2,2026-09-15T04:05:32Z,Vice Chief of the Air Staff,"Air Marshal Ashutosh Dixit, PVSM, AVSM, VM, VSM"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,3,2026-09-15T04:05:32Z,Deputy Chief of the Air Staff,"Air Marshal Tejpal Singh, AVSM, VM"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,4,2026-09-15T04:05:32Z,Air Officer in Charge Personnel,"Air Marshal Hardeep Bains, AVSM, VM"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,5,2026-09-15T04:05:32Z,Air Officer in Charge Administration,"Air Marshal S Sivakumar, VSM"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,6,2026-09-15T04:05:32Z,Director General of Inspection and Flight Safety,"Air Marshal Tejbir Singh, AVSM, VM"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,7,2026-09-15T04:05:32Z,Air Officer in Charge Maintenance,"Air Marshal Sanjiv Ghuratia, AVSM, VSM"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,8,2026-09-15T04:05:32Z,Director General of Air Operations,"Air Marshal Joseph Suares, YSM, VM"
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,1,9,2026-09-15T04:05:32Z,Director General of Medical Services (Air),"Air Marshal Sandeep Thareja, SM, VSM"
