source_key,source_url,source_table,source_row,retrieved_at,Name,Image,Type,Quantity,Origin,Notes
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,7,1,2026-09-15T03:49:19Z,BrahMos,,Supersonic cruise missile Supersonic air-launched cruise missile,Unknown,India Russia,Status: In service. 450 km range. To be increased to 800 km. 40 Su-30MKI modified to operate BrahMos. Further 84 aircraft to be modified. Operates air launched and surface launched (transporter erector launcher) variants. Number of TELs with IAF is unknown.
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,7,2,2026-09-15T03:49:19Z,Storm Shadow,,Subsonic air-launched cruise missile,Unknown,France UK,Status: In service. 550 km range
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,7,3,2026-09-15T03:49:19Z,Kh-35,,Subsonic air launched cruise missile,Unknown,Russia,Status: In service. 260 km range
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,7,4,2026-09-15T03:49:19Z,Rampage,,Air-launched ballistic missile,Unknown,Israel,Status: In service. 150–250 km range.
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,7,5,2026-09-15T03:49:19Z,Prithvi II,,Short-range ballistic missile,Unknown,India,Status: In service. 150–350 km range. IAF-specific variant of the Prithvi ballistic missile.
iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,7,6,2026-09-15T03:49:19Z,Pralay,,Short-range quasi ballistic missile,120 on order,India,Status: Trials. 150–500 km range.
