source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Ships,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,13,1,2026-09-15T03:49:19Z,Shachi-class patrol vessel,,Offshore patrol vessel,11,India,"2,500 tonnes",2 launched 6 under construction 3 approved,"The contract for acquisition of 11 Next Generation Offshore Patrol Vessels under Buy (Indian-IDDM) category was signed with Goa Shipyard Ltd (GSL) and Garden Reach Shipbuilders and Engineers (GRSE) at a total cost of Rs 9,781 crore. The delivery of the ships is scheduled to commence from September 2026."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,13,2,2026-09-15T03:49:19Z,New Water Jet Fast Attack Craft (NWJFAC),,Fast attack craft,31,India,325 tonnes,Planned,Follow on water jet fast interceptor craft. The Defence Acquisition Council (DAC) granted an Acceptance of Necessity (AoN) for the procurement of 31 NWJFACs on 3rd December 2024.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,13,3,2026-09-15T03:49:19Z,FIC-1,,Fast Interceptor Craft,120,India,,Planned,"DAC approved the acquisition on 3 December 2024. Functions includes escort of high-value units, such as aircraft carriers, destroyers, frigates, and submarines for coastal defence. To be equipped with DRDO-developed Indigenous Waterjet Propulsion System."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,13,4,2026-09-15T03:49:19Z,Fast Patrol Boats,,Fast patrol boat,6,India,,Tender issued,"The Request for Proposal (RFP), has been issued and bidding is open between 21 October 2025 and 13 January 2026. The FPBs, with indigenous content of >60%, will be employed for surveillance and reconnaissance roles by small insertion teams."
