source_key,source_url,source_table,source_row,retrieved_at,Class,Picture,Type,No. of Ships,Origin,Displacement,Status,Note
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,7,1,2026-09-15T03:49:19Z,Future Landing Platform Dock (LPD),,Landing helicopter dock,4,India,"32,000 tonnes",4 Approved,"Indian Navy has released RFI for 4 LPDs to be made by Indian shipyards. Integrated Full Electric Propulsion (IFEP) is expected. Ships will have 4×AK-630 with Electro Optical Fire control system, 8x Medium Machine Gun, 6×Heavy Machine Gun, Advanced towed decoy system, 16×SSM, 32×VL-SRSAM, 2×Heavy Lift Helicopters, 12×Special Ops Helicopters , 2×NSUAS or Fixed-Wing Naval Drones etc. Acceptance of Necessity (AoN) granted on Oct 23, 2025. As per AoN, all 4 LPDs are to have a displacement of more than 32,000 tonnes."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,7,2,2026-09-15T03:49:19Z,High Speed Landing Craft,,Landing Craft,6,India,285 tonnes,Planned,"In September 2017, the Navy issued a RFI to acquire six landing craft capable of supporting assault missions and transporting equipment, vehicles & troops."
