source_key,source_url,source_table,source_row,retrieved_at,Floating dock (2) | Class,Floating dock (2) | Image,Floating dock (2) | Ship,Floating dock (2) | Pennant No.,Floating dock (2) | Disp. (t),Floating dock (2) | Origin,Floating dock (2) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,18,1,2026-09-15T03:49:19Z,Floating Dock Navy (FDN),,FDN-1,—,—,Japan,"Lifting capacity of 11,500. Deployed at Sri Vijaya Puram."
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,18,2,2026-09-15T03:49:19Z,Floating Dock Navy (FDN),,FDN-2,-,,India,"Lifting capacity of 8,000. Deployed at Sri Vijaya Puram."
