source_key,source_url,source_table,source_row,retrieved_at,Ship | Cruisers,Pennant | Cruisers,Class | Cruisers,Commissioned | Cruisers,Decommissioned | Cruisers,Fate | Cruisers,Notes | Cruisers
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,3,1,2026-09-15T03:49:19Z,INS Delhi Originally commissioned as HMIS (His Majesty's Indian Ship) Delhi,C74,Leander class,5 July 1948,30 June 1978,Scrapped,"Purchased from the U.K. Formerly HMS Achilles of the Battle of the River Plate fame. Turrets on Display at Devonport Naval Base, Auckland, New Zealand, and at Indian Military Academy, Dehradun, India."
navy_historical_ships,https://en.wikipedia.org/wiki/List_of_ships_of_the_Indian_Navy,3,2,2026-09-15T03:49:19Z,INS Mysore,C60,Fiji class,29 August 1957,20 August 1985,Scrapped,Purchased from the U.K. Formerly HMS Nigeria.
