source_key,source_url,source_table,source_row,retrieved_at,"Name | Short-range missiles (maximum range of 1,000 km)","Image | Short-range missiles (maximum range of 1,000 km)","Type | Short-range missiles (maximum range of 1,000 km)","Quantity | Short-range missiles (maximum range of 1,000 km)","Origin | Short-range missiles (maximum range of 1,000 km)","Notes | Short-range missiles (maximum range of 1,000 km)"
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,15,1,2026-09-15T03:49:19Z,Pralay,,Short-range ballistic missile with maneuverable reentry vehicle,370 ordered,India,Status: In service. 150–400 km range.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,15,2,2026-09-15T03:49:19Z,BrahMos,,Supersonic short-range cruise missile,120 launchers,India Russia,Status: In service. 290–700 km range. 5 regiments are operational. Each regiment have 24 launchers or 72 ready to fire missiles.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,15,3,2026-09-15T03:49:19Z,"Medium-range missiles (maximum range of 3,500 km)","Medium-range missiles (maximum range of 3,500 km)","Medium-range missiles (maximum range of 3,500 km)","Medium-range missiles (maximum range of 3,500 km)","Medium-range missiles (maximum range of 3,500 km)","Medium-range missiles (maximum range of 3,500 km)"
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,15,4,2026-09-15T03:49:19Z,Agni-I,,Medium-range ballistic missile,,India,Status: In service. 700–1250 km range.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,15,5,2026-09-15T03:49:19Z,Nirbhay,,Medium-range cruise missile,,India,"Status: Induction phase. 1,000–1,500 km range."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,15,6,2026-09-15T03:49:19Z,Shaurya,,Medium-range ballistic missile with maneuverable reentry vehicle,,India,Status: In service. 700–1900 km range.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,15,7,2026-09-15T03:49:19Z,Agni-II,,Medium-range ballistic missile,,India,"Status: In service. 2,000–3,500 km range."
