sourceId,title,publisher,canonicalUrl,publicationDate,accessedAt,sourceType,tier,language,rightsNotes,versionId,contentHash,rawStoragePath,parserVersion,reviewer,status
PIB-KARGIL-2025,"Kargil Vijay Diwas 2025: Honouring 26 Years of Valour and Victory","Press Information Bureau, Government of India",https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=154940&id=154940&lang=2&reg=3,2025-07-25,2026-09-07,official-press-note,A,en,"Citation and short paraphrase only; image reuse rights not established",captured-2026-09-07,17a49f542404aaaca8de1138f4245691eb3c964b739e464553e39c8dc1aba14d,docs/verification/2026-09-07/sources/raw/pib-kargil-heroes-2025.html,raw-html/no-transform,automated-source-pass,accepted-candidate-source
PIB-IAF-KARGIL-2009,"The Nation remembers Kargil War Heroes","Ministry of Defence via Press Information Bureau",https://www.pib.gov.in/newsite/erelcontent.aspx?lang=2&reg=48&relid=50974,2009-07-26,2026-09-07,official-press-release,A,en,"Citation and short paraphrase only; image reuse rights not established",captured-2026-09-07,be16c5736d9afbafac8fb20db22f5c849bfefd1f81c900143fce679d511329b8,docs/verification/2026-09-07/sources/raw/pib-kargil-air-operations-2009.html,raw-html/no-transform,automated-source-pass,accepted-candidate-source
PIB-FH77B-2012,"Production of Howitzers by Ordnance Factory","Ministry of Defence via Press Information Bureau",https://www.pib.gov.in/newsite/PrintRelease.aspx?lang=2&reg=48&relid=83930,2012-05-16,2026-09-07,parliamentary-answer-release,A,en,"Citation and short paraphrase only",captured-2026-09-07,13f510a52437a1cba2bc6efd667fd907e32293198729b20b5a700cea88115d83,docs/verification/2026-09-07/sources/raw/pib-fh77b-2012.html,raw-html/no-transform,automated-source-pass,accepted-candidate-source
IE-KARGIL-2024,"Kargil Vijay Diwas: How India conquered Kargil's inclement conditions, 25 years ago","The Indian Express",https://indianexpress.com/article/explained/kargil-vijay-diwas-india-war-pakistan-9476104/,2024-07-26,2026-09-07,reputable-news-explainer,B,en,"Citation and paraphrase only; local page capture is evidence-only and must not be published",captured-2026-09-07,7f835078c33f4e078258838c97f990701dafd7bbc47f4ef28c2e5d5aa15dfd1f,docs/verification/2026-09-07/sources/raw/indian-express-kargil-2024.html,raw-html/no-transform,automated-source-pass,accepted-candidate-source
WIKI-KARGIL,"Kargil War","Wikipedia contributors",https://en.wikipedia.org/wiki/Kargil_War,,2026-09-07,encyclopedia,DISCOVERY,en,"CC BY-SA 4.0; use for discovery and cross-checking with attribution; consequential claims require stronger corroboration",oldid-1370659049,7e6b92f6d418ccecbcc912c5ddbfaa588b35b92b2f32678af17339b02e56896e,docs/verification/2026-09-07/sources/raw/wikipedia-kargil-war.html,raw-html/no-transform,automated-source-pass,discovery-only
WIKI-SAFED-SAGAR,"Operation Safed Sagar","Wikipedia contributors",https://en.wikipedia.org/wiki/Operation_Safed_Sagar,,2026-09-07,encyclopedia,DISCOVERY,en,"CC BY-SA 4.0; use for discovery and cross-checking with attribution",oldid-1373416405,ef475203149087439567ce6ecf196e39062c314dde5701e1782c5ea370778a6f,docs/verification/2026-09-07/sources/raw/wikipedia-operation-safed-sagar.html,raw-html/no-transform,automated-source-pass,discovery-only
WIKI-VIKRAM-BATRA,"Vikram Batra","Wikipedia contributors",https://en.wikipedia.org/wiki/Vikram_Batra,,2026-09-07,encyclopedia,DISCOVERY,en,"CC BY-SA 4.0; biographical dates need primary or reputable corroboration before publication",oldid-1373369628,cac4298828c08860dc36e5355c6fe68d2ae91444f4639171914e7389bf0935dd,docs/verification/2026-09-07/sources/raw/wikipedia-vikram-batra.html,raw-html/no-transform,automated-source-pass,discovery-only
WIKI-YOGENDRA-YADAV,"Yogendra Singh Yadav","Wikipedia contributors",https://en.wikipedia.org/wiki/Yogendra_Singh_Yadav,,2026-09-07,encyclopedia,DISCOVERY,en,"CC BY-SA 4.0; current-rank and living-person details require a dated stronger source",oldid-1353226645,242eb3ac23cde7836ffed88bc6e22898bbddc77109fb0cc7e48da64b2371fce2,docs/verification/2026-09-07/sources/raw/wikipedia-yogendra-singh-yadav.html,raw-html/no-transform,automated-source-pass,discovery-only
WIKI-FH77,"Haubits FH77","Wikipedia contributors",https://en.wikipedia.org/wiki/Haubits_FH77,,2026-09-07,encyclopedia,DISCOVERY,en,"CC BY-SA 4.0; specifications require manufacturer or official corroboration before publication",oldid-1338446786,887255c8a4a8e90b16bf5a7759e703e3e84b768b6d0dbdbdd3debaa688cc0fd0,docs/verification/2026-09-07/sources/raw/wikipedia-fh77.html,raw-html/no-transform,automated-source-pass,discovery-only
