record_id,branch,domain,category,system_name,designation,variant,role_purpose,status,source_status,verification_status,verification_sources,status_as_of,commissioned_or_inducted_date,retired_or_decommissioned_date,quantity,quantity_min,quantity_max,quantity_raw,quantity_values,specifications,dimensions,make_manufacturer,country_of_origin,operators,notes,source_key,source_url,source_table,source_row,retrieved_at,raw_record
eq_e41bead57ac57a861886,Indian Air Force,air force weapon systems,Air defence systems,Prithvi Defence Vehicle (PDV),Not documented,Not documented,Exo-atmospheric Anti-ballistic missile,in_service,Status: In service. Dual-stage solid-fueled missile. Flight Altitude: 150 km.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Unknown,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service. Dual-stage solid-fueled missile. Flight Altitude: 150 km.,iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,3,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""Prithvi Defence Vehicle (PDV)"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In service. Dual-stage solid-fueled missile. Flight Altitude: 150 km."", ""Origin | Anti-Satellite Missile Systems"": ""India"", ""Quantity | Anti-Satellite Missile Systems"": ""Unknown"", ""Type | Anti-Satellite Missile Systems"": ""Exo-atmospheric Anti-ballistic missile""}"
eq_c2fa06a48644b640b82f,Indian Air Force,air force weapon systems,Air defence systems,Advanced Air Defence (AAD),Not documented,Not documented,Endo-atmospheric Anti-ballistic missile,in_service,Status: In service.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Unknown,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service.,iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,4,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""Advanced Air Defence (AAD)"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In service."", ""Origin | Anti-Satellite Missile Systems"": ""India"", ""Quantity | Anti-Satellite Missile Systems"": ""Unknown"", ""Type | Anti-Satellite Missile Systems"": ""Endo-atmospheric Anti-ballistic missile""}"
eq_b336da15c944cf4ecde1,Indian Air Force,air force weapon systems,Air defence systems,Prithvi Air Defence (PAD),Not documented,Not documented,Exo-atmospheric Anti-ballistic missile,not_documented,Status: being replaced by Prithvi Defence Vehicle (PDV). Dual-stage liquid-fueled missile. It can intercept targets at 80 km altitude.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Unknown,[],Not documented,Not documented,Not documented,India,Not documented,Status: being replaced by Prithvi Defence Vehicle (PDV). Dual-stage liquid-fueled missile. It can intercept targets at 80 km altitude.,iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,5,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""Prithvi Air Defence (PAD)"", ""Notes | Anti-Satellite Missile Systems"": ""Status: being replaced by Prithvi Defence Vehicle (PDV). Dual-stage liquid-fueled missile. It can intercept targets at 80 km altitude."", ""Origin | Anti-Satellite Missile Systems"": ""India"", ""Quantity | Anti-Satellite Missile Systems"": ""Unknown"", ""Type | Anti-Satellite Missile Systems"": ""Exo-atmospheric Anti-ballistic missile""}"
eq_ee06b1b3254378d28e9b,Indian Air Force,air force weapon systems,Air defence systems,S-400 Triumph,Not documented,Not documented,Long-range surface-to-air missile system,in_service,Status: In service. 2 more regiments' delivery by 2026. 400 km operational range. Each regiment will have two batteries with eight launchers each.,not_independently_verified,[],2026-09-15,Not documented,Not documented,3,3,48,3 regiments Total 48 launchers,"[3, 48]",Not documented,Not documented,Not documented,Russia,Not documented,Status: In service. 2 more regiments' delivery by 2026. 400 km operational range. Each regiment will have two batteries with eight launchers each.,iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,7,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""S-400 Triumph"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In service. 2 more regiments' delivery by 2026. 400 km operational range. Each regiment will have two batteries with eight launchers each."", ""Origin | Anti-Satellite Missile Systems"": ""Russia"", ""Quantity | Anti-Satellite Missile Systems"": ""3 regiments Total 48 launchers"", ""Type | Anti-Satellite Missile Systems"": ""Long-range surface-to-air missile system""}"
eq_5bd6382cce59cbfa025b,Indian Air Force,air force weapon systems,Air defence systems,Barak-8 (MR-SAM),Not documented,Not documented,Medium-range surface-to-air missile,in_service,"Status: In service. MRSAM is a medium range air defence system with a max range of 70–80 km. It is used to counter aerial threats such as Fighter aircraft, helicopter, UAV etc. An Air Force Squadron consists of 3 TELs per Squadron.",official_claim_available,"[""https://drdo.gov.in/drdo/en/offerings/products/mrsam""]",2026-09-15,Not documented,Not documented,18,18,18,18 squadrons,[18],Not documented,Not documented,Not documented,India Israel,Not documented,"Status: In service. MRSAM is a medium range air defence system with a max range of 70–80 km. It is used to counter aerial threats such as Fighter aircraft, helicopter, UAV etc. An Air Force Squadron consists of 3 TELs per Squadron.",iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,8,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""Barak-8 (MR-SAM)"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In service. MRSAM is a medium range air defence system with a max range of 70–80 km. It is used to counter aerial threats such as Fighter aircraft, helicopter, UAV etc. An Air Force Squadron consists of 3 TELs per Squadron."", ""Origin | Anti-Satellite Missile Systems"": ""India Israel"", ""Quantity | Anti-Satellite Missile Systems"": ""18 squadrons"", ""Type | Anti-Satellite Missile Systems"": ""Medium-range surface-to-air missile""}"
eq_3674718aa644b360300b,Indian Air Force,air force weapon systems,Air defence systems,Akash,Not documented,Not documented,Medium-range surface-to-air missile,in_service_and_on_order,Status: In service. Akash 1S has 40 km operational range and flight ceiling of 20 km. 2 regiments of Akash Prime on order for Army. Akash NG with increased range of 70–80 km is being tested.,official_claim_available,"[""https://drdo.gov.in/drdo/en/offerings/products/akash""]",2026-09-15,Not documented,Not documented,15,15,120,15 squadrons (120 launchers),"[15, 120]",Not documented,Not documented,Not documented,India,Not documented,Status: In service. Akash 1S has 40 km operational range and flight ceiling of 20 km. 2 regiments of Akash Prime on order for Army. Akash NG with increased range of 70–80 km is being tested.,iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,9,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""Akash"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In service. Akash 1S has 40 km operational range and flight ceiling of 20 km. 2 regiments of Akash Prime on order for Army. Akash NG with increased range of 70–80 km is being tested."", ""Origin | Anti-Satellite Missile Systems"": ""India"", ""Quantity | Anti-Satellite Missile Systems"": ""15 squadrons (120 launchers)"", ""Type | Anti-Satellite Missile Systems"": ""Medium-range surface-to-air missile""}"
eq_fea339711a4cf3ec5bac,Indian Air Force,air force weapon systems,Air defence systems,SPYDER,Not documented,Not documented,Short and Medium range surface-to-air missile,in_service,"Status: In service. 18 SPYDER-SRs Systems (Batteries) along with 750 Python-5 surface to air missiles (SAMs) and 750 Derby SAMs has been delivered. 50 km operational range and flight ceiling of 16 km. A typical battery consists one central command and control unit, six missile firing units, and a resupply vehicle.",not_independently_verified,[],2026-09-15,Not documented,Not documented,18,18,18,18 Systems (Batteries),[18],Not documented,Not documented,Not documented,Israel,Not documented,"Status: In service. 18 SPYDER-SRs Systems (Batteries) along with 750 Python-5 surface to air missiles (SAMs) and 750 Derby SAMs has been delivered. 50 km operational range and flight ceiling of 16 km. A typical battery consists one central command and control unit, six missile firing units, and a resupply vehicle.",iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,10,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""SPYDER"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In service. 18 SPYDER-SRs Systems (Batteries) along with 750 Python-5 surface to air missiles (SAMs) and 750 Derby SAMs has been delivered. 50 km operational range and flight ceiling of 16 km. A typical battery consists one central command and control unit, six missile firing units, and a resupply vehicle."", ""Origin | Anti-Satellite Missile Systems"": ""Israel"", ""Quantity | Anti-Satellite Missile Systems"": ""18 Systems (Batteries)"", ""Type | Anti-Satellite Missile Systems"": ""Short and Medium range surface-to-air missile""}"
eq_86d5f6eee45f6d928101,Indian Air Force,air force weapon systems,Air defence systems,SAMAR,Not documented,Not documented,Short-range Surface-to-air missile,under_trials,"Status: On order. The system employs Vympel R-73 and Vympel R-27 air-to-air missiles, which are of Russian origin. User trials complete.",not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Unknown (On order),[],Not documented,Not documented,Not documented,India,Not documented,"Status: On order. The system employs Vympel R-73 and Vympel R-27 air-to-air missiles, which are of Russian origin. User trials complete.",iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,11,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""SAMAR"", ""Notes | Anti-Satellite Missile Systems"": ""Status: On order. The system employs Vympel R-73 and Vympel R-27 air-to-air missiles, which are of Russian origin. User trials complete."", ""Origin | Anti-Satellite Missile Systems"": ""India"", ""Quantity | Anti-Satellite Missile Systems"": ""Unknown (On order)"", ""Type | Anti-Satellite Missile Systems"": ""Short-range Surface-to-air missile""}"
eq_967de669f596373a023b,Indian Air Force,air force weapon systems,Air defence systems,S-125 (SA-3 Goa),Not documented,Not documented,Short-range Surface-to-air missile,not_documented,Status: Being replaced by Akash. Mainly used for point-defense of airbases. Will be completely replaced by Akash NG and MRSAM by 2030,not_independently_verified,[],2026-09-15,Not documented,Not documented,25,25,25,25 Squadrons for IAF,[25],Not documented,Not documented,Not documented,USSR,Not documented,Status: Being replaced by Akash. Mainly used for point-defense of airbases. Will be completely replaced by Akash NG and MRSAM by 2030,iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,12,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""S-125 (SA-3 Goa)"", ""Notes | Anti-Satellite Missile Systems"": ""Status: Being replaced by Akash. Mainly used for point-defense of airbases. Will be completely replaced by Akash NG and MRSAM by 2030"", ""Origin | Anti-Satellite Missile Systems"": ""USSR"", ""Quantity | Anti-Satellite Missile Systems"": ""25 Squadrons for IAF"", ""Type | Anti-Satellite Missile Systems"": ""Short-range Surface-to-air missile""}"
eq_dd217505b3f367e1a7e0,Indian Air Force,air force weapon systems,Air defence systems,9K33 Osa (SA-8 Gecko),Not documented,Not documented,Short-range Surface-to-air missile,in_service,Status: In service (To be replaced by QRSAM),not_independently_verified,[],2026-09-15,Not documented,Not documented,80,80,80,80,[80],Not documented,Not documented,Not documented,USSR,Not documented,Status: In service (To be replaced by QRSAM),iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,13,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""9K33 Osa (SA-8 Gecko)"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In service (To be replaced by QRSAM)"", ""Origin | Anti-Satellite Missile Systems"": ""USSR"", ""Quantity | Anti-Satellite Missile Systems"": ""80"", ""Type | Anti-Satellite Missile Systems"": ""Short-range Surface-to-air missile""}"
eq_bb351c3df4fd401cee2f,Indian Air Force,air force weapon systems,Air defence systems,9K38 Igla (SA-18) 9K338 Igla-S,Not documented,Not documented,Man-portable air-defense system,in_service_and_on_order,"Status: In service. Igla-S deployed along LAC. Additional 96 launchers, 300 missiles of Igla-S on order.",not_independently_verified,[],2026-09-15,Not documented,Not documented,48,48,2500,2500: 87 48 launchers 316 missiles,"[2500, 87, 48, 316]",Not documented,Not documented,Not documented,Russia,Not documented,"Status: In service. Igla-S deployed along LAC. Additional 96 launchers, 300 missiles of Igla-S on order.",iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,15,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""9K38 Igla (SA-18) 9K338 Igla-S"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In service. Igla-S deployed along LAC. Additional 96 launchers, 300 missiles of Igla-S on order."", ""Origin | Anti-Satellite Missile Systems"": ""Russia"", ""Quantity | Anti-Satellite Missile Systems"": ""2500: 87 48 launchers 316 missiles"", ""Type | Anti-Satellite Missile Systems"": ""Man-portable air-defense system""}"
eq_e5d6cfe856034cf75bf4,Indian Air Force,air force weapon systems,Air defence systems,Sudarshan CIWS,Not documented,Not documented,Close-in weapon system,in_service_and_on_order,"Status: In Service. Advanced version of Bofors L/70 manufactured by L&T Defence. System includes 3D AESA radar and has a range of 3.5 km and firing rate of 300 rounds/min. Two orders cleared: ₹6,000 crore (equivalent to ₹67 billion or US$700 million in 2023) order cleared for Indian Army in 2021. ₹7,000 crore (US$730 million) order cleared for 240 guns by CCS for Indian Air Force in 2024.",not_independently_verified,[],2026-09-15,Not documented,Not documented,240,240,240,240 (to be ordered),[240],Not documented,Not documented,Not documented,India,Not documented,"Status: In Service. Advanced version of Bofors L/70 manufactured by L&T Defence. System includes 3D AESA radar and has a range of 3.5 km and firing rate of 300 rounds/min. Two orders cleared: ₹6,000 crore (equivalent to ₹67 billion or US$700 million in 2023) order cleared for Indian Army in 2021. ₹7,000 crore (US$730 million) order cleared for 240 guns by CCS for Indian Air Force in 2024.",iaf_weapon_systems,https://en.wikipedia.org/wiki/Indian_Air_Force,8,17,2026-09-15T03:49:19Z,"{""Image | Anti-Satellite Missile Systems"": """", ""Name | Anti-Satellite Missile Systems"": ""Sudarshan CIWS"", ""Notes | Anti-Satellite Missile Systems"": ""Status: In Service. Advanced version of Bofors L/70 manufactured by L&T Defence. System includes 3D AESA radar and has a range of 3.5 km and firing rate of 300 rounds/min. Two orders cleared: ₹6,000 crore (equivalent to ₹67 billion or US$700 million in 2023) order cleared for Indian Army in 2021. ₹7,000 crore (US$730 million) order cleared for 240 guns by CCS for Indian Air Force in 2024."", ""Origin | Anti-Satellite Missile Systems"": ""India"", ""Quantity | Anti-Satellite Missile Systems"": ""240 (to be ordered)"", ""Type | Anti-Satellite Missile Systems"": ""Close-in weapon system""}"
eq_73a5cfd3f1f0d70cc0c4,Indian Army,infantry weapons and individual equipment,Individual equipment,New Battle Dress Uniform (NBDU) (2022–present),Not documented,Not documented,Military camouflage Combat uniform,in_service,"Status: In service Designed by the National Institute of Fashion Technology (NIFT), consisting of a pixelated camouflage pattern, with improved ergonomics and greater operational efficiency. Was first revealed on Army Day 2022.",not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,"Status: In service Designed by the National Institute of Fashion Technology (NIFT), consisting of a pixelated camouflage pattern, with improved ergonomics and greater operational efficiency. Was first revealed on Army Day 2022.",army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,1,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""New Battle Dress Uniform (NBDU) (2022–present)"", ""Notes | Uniforms and Gears"": ""Status: In service Designed by the National Institute of Fashion Technology (NIFT), consisting of a pixelated camouflage pattern, with improved ergonomics and greater operational efficiency. Was first revealed on Army Day 2022."", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Military camouflage Combat uniform""}"
eq_d322a599455be2f6aff6,Indian Army,infantry weapons and individual equipment,Individual equipment,Indian Army Snow Camouflage,Not documented,Not documented,Military camouflage Combat uniform,in_service,Status: In service,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,Status: In service,army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,2,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""Indian Army Snow Camouflage"", ""Notes | Uniforms and Gears"": ""Status: In service"", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Military camouflage Combat uniform""}"
eq_c068c14224e9038d8197,Indian Army,infantry weapons and individual equipment,Individual equipment,New Coat Combat (Digital Print),Not documented,Not documented,Military camouflage Combat uniform,in_service,Status: In service. Designed by NIFT.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,Status: In service. Designed by NIFT.,army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,3,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""New Coat Combat (Digital Print)"", ""Notes | Uniforms and Gears"": ""Status: In service. Designed by NIFT."", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Military camouflage Combat uniform""}"
eq_6ba8c61af9bb78cc1454,Indian Army,infantry weapons and individual equipment,Individual equipment,PC-DPM (c.2006-2026),Not documented,Not documented,Military camouflage Combat uniform,decommissioned_or_retired,Status: In service/being phased out. Standard uniform since 2006 using French CCE pattern printed on BDU. Being replaced by new NIFT made uniform since 2022. The uniform will remain in service till June 2026.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,Status: In service/being phased out. Standard uniform since 2006 using French CCE pattern printed on BDU. Being replaced by new NIFT made uniform since 2022. The uniform will remain in service till June 2026.,army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,4,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""PC-DPM (c.2006-2026)"", ""Notes | Uniforms and Gears"": ""Status: In service/being phased out. Standard uniform since 2006 using French CCE pattern printed on BDU. Being replaced by new NIFT made uniform since 2022. The uniform will remain in service till June 2026."", ""Origin Country | Uniforms and Gears"": ""France"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Military camouflage Combat uniform""}"
eq_c25287be09841cdc6360,Indian Army,infantry weapons and individual equipment,Individual equipment,High altitude combat uniform,Not documented,Not documented,Combat uniform,decommissioned_or_retired,Status: In service/being phased out. to be replaced by New Indian Army Snow Camouflage. Used extensively on high altitudes such as Siachen Glacier,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,Status: In service/being phased out. to be replaced by New Indian Army Snow Camouflage. Used extensively on high altitudes such as Siachen Glacier,army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,5,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""High altitude combat uniform"", ""Notes | Uniforms and Gears"": ""Status: In service/being phased out. to be replaced by New Indian Army Snow Camouflage. Used extensively on high altitudes such as Siachen Glacier"", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Combat uniform""}"
eq_ddce291708fd03ec2789,Indian Army,infantry weapons and individual equipment,Individual equipment,Boot Anti Mine Infantry (BAMI),Not documented,Not documented,Combat boots,in_service,"Status: In Service, used by forward troops Developed by DRDO",not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,"Status: In Service, used by forward troops Developed by DRDO",army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,6,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""Boot Anti Mine Infantry (BAMI)"", ""Notes | Uniforms and Gears"": ""Status: In Service, used by forward troops Developed by DRDO"", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Combat boots""}"
eq_b75b98eeba42db07f79f,Indian Army,infantry weapons and individual equipment,Individual equipment,Bhabha Kavach,Not documented,Not documented,Ballistic vest,in_service,"Status: In service, Unknown numbers in service. Named after Homi J. Bhabha",not_independently_verified,[],2026-09-15,Not documented,Not documented,30000,30000,30000,"<30,000",[30000],Not documented,Not documented,Not documented,Not documented,Not documented,"Status: In service, Unknown numbers in service. Named after Homi J. Bhabha",army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,8,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""Bhabha Kavach"", ""Notes | Uniforms and Gears"": ""Status: In service, Unknown numbers in service. Named after Homi J. Bhabha"", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": ""<30,000"", ""Type | Uniforms and Gears"": ""Ballistic vest""}"
eq_30f9aa1467789287bd4a,Indian Army,infantry weapons and individual equipment,Individual equipment,SMPP Vest,Not documented,Not documented,Ballistic Vest,in_service_and_on_order,"Status: In service, Manufactured by SMPP Pvt. Ltd. First order was placed in 2016 through revenue route for 50,000 vests in 2016 with all delivered by 2017. A second order was placed in April 2018 for 1,86,138 (186,138) bulletproof vests worth ₹639 crore (US$93.44 million) while deliveries were completed by August 2024. An additional order for 27,700 units as part of a larger ₹300 crore (US$31 million) deal placed in July 2025. The vest features dynamic load distribution and quick release system.",not_independently_verified,[],2026-09-15,Not documented,Not documented,236138,236138,236138,"2,36,138(236,138)","[236138, 236138]",Not documented,Not documented,Not documented,Not documented,Not documented,"Status: In service, Manufactured by SMPP Pvt. Ltd. First order was placed in 2016 through revenue route for 50,000 vests in 2016 with all delivered by 2017. A second order was placed in April 2018 for 1,86,138 (186,138) bulletproof vests worth ₹639 crore (US$93.44 million) while deliveries were completed by August 2024. An additional order for 27,700 units as part of a larger ₹300 crore (US$31 million) deal placed in July 2025. The vest features dynamic load distribution and quick release system.",army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,9,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""SMPP Vest"", ""Notes | Uniforms and Gears"": ""Status: In service, Manufactured by SMPP Pvt. Ltd. First order was placed in 2016 through revenue route for 50,000 vests in 2016 with all delivered by 2017. A second order was placed in April 2018 for 1,86,138 (186,138) bulletproof vests worth ₹639 crore (US$93.44 million) while deliveries were completed by August 2024. An additional order for 27,700 units as part of a larger ₹300 crore (US$31 million) deal placed in July 2025. The vest features dynamic load distribution and quick release system."", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": ""2,36,138(236,138)"", ""Type | Uniforms and Gears"": ""Ballistic Vest""}"
eq_1b0de61417c3bbe13750,Indian Army,infantry weapons and individual equipment,Individual equipment,Tata 360 Ballistic Vest,Not documented,Not documented,Ballistic vest,in_service_and_on_order,"Status: In service, Ordered under emergency procurement.",not_independently_verified,[],2026-09-15,Not documented,Not documented,62500,62500,62500,"62,500",[62500],Not documented,Not documented,Not documented,Not documented,Not documented,"Status: In service, Ordered under emergency procurement.",army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,10,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""Tata 360 Ballistic Vest"", ""Notes | Uniforms and Gears"": ""Status: In service, Ordered under emergency procurement."", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": ""62,500"", ""Type | Uniforms and Gears"": ""Ballistic vest""}"
eq_67237e083ae3244e0590,Indian Army,infantry weapons and individual equipment,Individual equipment,Advanced Ballistics for High Energy Defeat (ABHED),Not documented,Not documented,Ballistic vest,on_order,Status: Developed; to be ordered. Developed by DRDO and IIT Delhi. Provides 360° protection weighing 8.2 kg to 9.5 kg.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,Status: Developed; to be ordered. Developed by DRDO and IIT Delhi. Provides 360° protection weighing 8.2 kg to 9.5 kg.,army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,11,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""Advanced Ballistics for High Energy Defeat (ABHED)"", ""Notes | Uniforms and Gears"": ""Status: Developed; to be ordered. Developed by DRDO and IIT Delhi. Provides 360° protection weighing 8.2 kg to 9.5 kg."", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Ballistic vest""}"
eq_9c49f8788b9a2842c8a6,Indian Army,infantry weapons and individual equipment,Individual equipment,CBRN Suit,Not documented,Not documented,"Chemical, biological, nuclear radiation suit",in_service,"Status: In Service, protects from chemical, biological, nuclear radiation.",not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,"Status: In Service, protects from chemical, biological, nuclear radiation.",army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,12,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""CBRN Suit"", ""Notes | Uniforms and Gears"": ""Status: In Service, protects from chemical, biological, nuclear radiation."", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Chemical, biological, nuclear radiation suit""}"
eq_b69cf4d03f7e5b0951d2,Indian Army,infantry weapons and individual equipment,Individual equipment,Bomb Blast Protection Suit,Not documented,Not documented,Bomb suit,in_service,"In Service, manufactured by DRDO",not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,Not documented,Not documented,"In Service, manufactured by DRDO",army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,13,2026-09-15T03:49:19Z,"{""Image | Uniforms and Gears"": """", ""Name | Uniforms and Gears"": ""Bomb Blast Protection Suit"", ""Notes | Uniforms and Gears"": ""In Service, manufactured by DRDO"", ""Origin Country | Uniforms and Gears"": ""India"", ""Quantity | Uniforms and Gears"": """", ""Type | Uniforms and Gears"": ""Bomb suit""}"
