record_id,branch,domain,category,system_name,designation,variant,role_purpose,status,source_status,verification_status,verification_sources,status_as_of,commissioned_or_inducted_date,retired_or_decommissioned_date,quantity,quantity_min,quantity_max,quantity_raw,quantity_values,specifications,dimensions,make_manufacturer,country_of_origin,operators,notes,source_key,source_url,source_table,source_row,retrieved_at,raw_record
eq_046d28523f73a718e038,Indian Army,land equipment and weapons,Armoured combat vehicles,Kalyani M4,Not documented,Not documented,Infantry mobility vehicle (Heavy),in_service_and_on_order,Status: In Service. Additional units were ordered for the deployment along the LAC. To be equipped with Spike anti-tank guided missile and 20 mm automatic turret.,not_independently_verified,[],2026-09-15,Not documented,Not documented,126,126,126,126,[126],Not documented,Not documented,Not documented,India,Not documented,Status: In Service. Additional units were ordered for the deployment along the LAC. To be equipped with Spike anti-tank guided missile and 20 mm automatic turret.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,15,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Kalyani M4"", ""Notes | Tanks"": ""Status: In Service. Additional units were ordered for the deployment along the LAC. To be equipped with Spike anti-tank guided missile and 20 mm automatic turret."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""126"", ""Type | Tanks"": ""Infantry mobility vehicle (Heavy)""}"
eq_4dd4c76abb58a091204e,Indian Army,land equipment and weapons,Armoured combat vehicles,TATA Quick Reaction Fighting Vehicle,Not documented,Not documented,Infantry mobility vehicle (Medium),in_service,Status: In service. First batch of Quick Reaction Fighting Vehicle inducted.,not_independently_verified,[],2026-09-15,Not documented,Not documented,36,36,36,36,[36],Not documented,Not documented,Not documented,India,Not documented,Status: In service. First batch of Quick Reaction Fighting Vehicle inducted.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,16,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""TATA Quick Reaction Fighting Vehicle"", ""Notes | Tanks"": ""Status: In service. First batch of Quick Reaction Fighting Vehicle inducted."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""36"", ""Type | Tanks"": ""Infantry mobility vehicle (Medium)""}"
eq_4ec9cdb51fa758833d30,Indian Army,land equipment and weapons,Armoured combat vehicles,Mahindra Straton Plus,Not documented,Not documented,Infantry mobility vehicle (Medium),in_service,Status: In service. Used by UN Peace keeping force.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,Not documented,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service. Used by UN Peace keeping force.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,17,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Mahindra Straton Plus"", ""Notes | Tanks"": ""Status: In service. Used by UN Peace keeping force."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": """", ""Type | Tanks"": ""Infantry mobility vehicle (Medium)""}"
eq_c34f48008ff0cc12018c,Indian Army,land equipment and weapons,Armoured combat vehicles,Casspir,Not documented,Not documented,Infantry mobility vehicle (Medium),in_service,Status: In service.,not_independently_verified,[],2026-09-15,Not documented,Not documented,200,200,200,200,[200],Not documented,Not documented,Not documented,South Africa,Not documented,Status: In service.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,18,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Casspir"", ""Notes | Tanks"": ""Status: In service."", ""Origin | Tanks"": ""South Africa"", ""Quantity | Tanks"": ""200"", ""Type | Tanks"": ""Infantry mobility vehicle (Medium)""}"
eq_9100507de9a67f874682,Indian Army,land equipment and weapons,Armoured combat vehicles,OFB Aditya,Not documented,Not documented,Infantry mobility vehicle (Medium),in_service,Status: In service. Based on Casspir. Manufactured at Ordnance Factory Medak and Vehicle Factory Jabalpur.,not_independently_verified,[],2026-09-15,Not documented,Not documented,1600,1600,1600,1600,[1600],Not documented,Not documented,Not documented,India,Not documented,Status: In service. Based on Casspir. Manufactured at Ordnance Factory Medak and Vehicle Factory Jabalpur.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,19,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""OFB Aditya"", ""Notes | Tanks"": ""Status: In service. Based on Casspir. Manufactured at Ordnance Factory Medak and Vehicle Factory Jabalpur."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""1600"", ""Type | Tanks"": ""Infantry mobility vehicle (Medium)""}"
eq_bf859e47e5584de78d89,Indian Army,land equipment and weapons,Armoured combat vehicles,Mahindra Armado,Not documented,Not documented,Military light utility vehicle,in_service,Status: In Service. Also known as Armored Light Specialist Vehicle (ALSV).,not_independently_verified,[],2026-09-15,Not documented,Not documented,1300,1300,1300,1300,[1300],Not documented,Not documented,Not documented,India,Not documented,Status: In Service. Also known as Armored Light Specialist Vehicle (ALSV).,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,20,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Mahindra Armado"", ""Notes | Tanks"": ""Status: In Service. Also known as Armored Light Specialist Vehicle (ALSV)."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""1300"", ""Type | Tanks"": ""Military light utility vehicle""}"
eq_37d8730d4ca8b1dd2dcc,Indian Army,land equipment and weapons,Armoured combat vehicles,Mahindra Airawat,Not documented,Not documented,Military light utility vehicle (Mortar carrier),in_service,Status: In Service. Also known as Vehicle Mounted Infantry Mortar System (VMIMS).,not_independently_verified,[],2026-09-15,Not documented,Not documented,50,50,50,50,[50],Not documented,Not documented,Not documented,India,Not documented,Status: In Service. Also known as Vehicle Mounted Infantry Mortar System (VMIMS).,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,21,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Mahindra Airawat"", ""Notes | Tanks"": ""Status: In Service. Also known as Vehicle Mounted Infantry Mortar System (VMIMS)."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""50"", ""Type | Tanks"": ""Military light utility vehicle (Mortar carrier)""}"
eq_3f3763f2f21841ea422a,Indian Army,land equipment and weapons,Armoured combat vehicles,Mahindra Marksman,Not documented,Not documented,Military light utility vehicle,in_service,Status: In service. Mainly used for anti-terror operations in Kashmir region.,not_independently_verified,[],2026-09-15,Not documented,Not documented,,,,N/A,[],Not documented,Not documented,Not documented,India,Not documented,Status: In service. Mainly used for anti-terror operations in Kashmir region.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,22,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Mahindra Marksman"", ""Notes | Tanks"": ""Status: In service. Mainly used for anti-terror operations in Kashmir region."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""N/A"", ""Type | Tanks"": ""Military light utility vehicle""}"
eq_8b6d98c3d1d2986dd364,Indian Army,land equipment and weapons,Armoured combat vehicles,Mahindra Rakshak,Not documented,Not documented,Military light utility vehicle,in_service,Status: In service (Phasing out). All units will be replaced by Mahindra ALSV until 2024. Bulletproof vehicle with composite armour which offers protection against 7.62 mm bullets.,not_independently_verified,[],2026-09-15,Not documented,Not documented,1000,1000,1000,"1,000",[1000],Not documented,Not documented,Not documented,India,Not documented,Status: In service (Phasing out). All units will be replaced by Mahindra ALSV until 2024. Bulletproof vehicle with composite armour which offers protection against 7.62 mm bullets.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,23,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Mahindra Rakshak"", ""Notes | Tanks"": ""Status: In service (Phasing out). All units will be replaced by Mahindra ALSV until 2024. Bulletproof vehicle with composite armour which offers protection against 7.62 mm bullets."", ""Origin | Tanks"": ""India"", ""Quantity | Tanks"": ""1,000"", ""Type | Tanks"": ""Military light utility vehicle""}"
eq_dbddc72be1c0b8ff47fa,Indian Army,land equipment and weapons,Armoured combat vehicles,Renault Sherpa,Not documented,Not documented,Military light utility vehicle,in_service,Status: In service.,not_independently_verified,[],2026-09-15,Not documented,Not documented,14,14,14,14,[14],Not documented,Not documented,Not documented,France,Not documented,Status: In service.,army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,24,2026-09-15T03:49:19Z,"{""Image | Tanks"": """", ""Name | Tanks"": ""Renault Sherpa"", ""Notes | Tanks"": ""Status: In service."", ""Origin | Tanks"": ""France"", ""Quantity | Tanks"": ""14"", ""Type | Tanks"": ""Military light utility vehicle""}"
